name_fa,county,lat,lon,capacity_mw,confidence
مشهد ریزه,تایباد,34.79511,60.50698,120.0,0.90
قمی,تایباد,34.74417,60.83333,120.0,0.90
تایباد,تایباد,34.74000,60.77560,120.0,0.90
حاج‌آباد,تایباد,34.84500,60.80500,120.0,0.90
محسن‌آباد,تایباد,34.90412,60.81613,120.0,0.90
سرداب,تایباد,34.85028,60.77333,120.0,0.90
عباس‌آباد ۲,تایباد,34.99560,60.71970,120.0,0.90
عباس‌آباد ۳,تایباد,34.99560,60.71970,120.0,0.90
طرح توسعه ۲,تایباد,34.74000,60.77560,120.0,0.90
علی‌آباد کشمر,بردسکن,35.29181,58.10140,77.5,0.90
کوه ارسنگ,بردسکن,35.34787,58.11327,77.5,0.90
طرح توسعه ۱,بردسکن,35.26310,57.97220,77.5,0.90
ابراهیم‌آباد,بردسکن,35.06000,57.98000,77.5,0.90
سیف‌آباد,بردسکن,35.25000,58.02000,77.5,0.90
ابراهیم‌آباد ۲,بردسکن,35.06000,57.98000,77.5,0.90
زر مهر,بردسکن,35.35000,58.80000,77.5,0.90
شهر جنگل,رشتخوار,34.70333,59.22250,57.5,0.90
زرگری,رشتخوار,34.91616,59.72215,57.5,0.90
شهر جنگل ۲,رشتخوار,34.70333,59.22250,57.5,0.90
ابنیه,رشتخوار,34.96670,59.61670,57.5,0.90
زرغری,رشتخوار,34.91616,59.72215,57.5,0.90
— (نام ششم در تصویر مبهم),رشتخوار,34.96670,59.61670,57.5,0.90
کوثر,گناباد,34.36861,58.80084,47.8,0.90
بیدخت,گناباد,34.34709,58.82388,47.8,0.90
بیدخت ۲,گناباد,34.34709,58.82388,47.8,0.90
حاجی‌آباد,گناباد,34.44750,58.83083,47.8,0.90
گنبدلی,سرخس,36.38583,60.85917,38.5,0.90
قوش عظیم ۱,سرخس,36.23210,61.04390,38.5,0.90
قوش عظیم ۲,سرخس,36.24000,61.05000,38.5,0.90
نامن,داورزن,36.15528,57.35917,30.0,0.90
نامن ۲,داورزن,36.15528,57.35917,30.0,0.90
سنگان ۱,خواف,34.39611,60.25722,150.0,0.92
سبزوار,سبزوار,36.21260,57.68191,150.0,0.92
نصرآباد,خلیل‌آباد,35.24889,58.26556,150.0,0.92
سرداغ,بجستان,34.78770,58.11110,150.5,0.92
ماهنه – طرح توسعه ۳,مه‌ولات,34.98778,58.84667,116.5,0.92
سنگ‌بست ۲,فریمان,35.99194,59.77167,30.0,0.92
