county,n_sites,sum_w,area_ha,area_km2,wind_density,wind_wDensity,sites,wind_class
خواف,10,1870.0,21162.0,211.62,0.0472545,8.83659,طرح توسعه سنگان – ویتندر – مهرآباد – بارادو – نصرآباد – تشتقان – سرخاب – خواف – سنگان – پشت سفید,۷ سایت کلاس ۱ ۲ سایت کلاس ۲ ۱ سایت کلاس ۳
زیرنجفام,4,1370.0,1480.3,14.803,0.270215,92.5488,شیرآباد – عباسی‌آباد – نوغوزنفلاد – نوده,۱ سایت کلاس ۲ ۳ سایت کلاس ۳
تایباد,3,710.0,7814.0,78.14,0.0383926,9.08626,کوه‌آباد – رهنه – قادری‌آباد,۲ سایت کلاس ۲ ۱ سایت کلاس ۳
مشهد,1,560.0,5630.0,56.3,0.017762,9.94671,حصاریزدان,۱ سایت کلاس ۲
تربتحیدریه,2,35.0,2566.0,25.66,0.0779423,1.36399,کودکان – مهندر,۲ سایت کلاس ۳
زاوه,2,0.0,0.0,0.0,0.0,0.0,طرح توسعه چغتای – طرح توسعه کنگ اولیا,۲ سایت کلاس ۲
ششتمد,1,400.0,4560.0,45.6,0.0219298,8.77193,ابلاغ,کلاس ۳
باخرز,1,250.0,2564.0,25.64,0.0390016,9.75039,سایت کوه سفید,کلاس ۲
مهولات,1,300.0,3223.0,32.23,0.031027,9.3081,سنگال‌آباد,کلاس ۳
نیشابور,1,300.0,3225.0,32.25,0.0310078,9.30233,عبدل‌آباد,کلاس ۳
